Gmt time,Open,High,Low,Close,Volume
2023-10-31 17:30:00,199.737,200.237,199.436,199.887,3.02
2023-10-31 17:45:00,199.866,201.627,199.617,201.346,2.82
2023-10-31 18:00:00,201.346,202.547,201.346,201.757,3.07
2023-10-31 18:15:00,201.747,202.227,201.026,201.026,2.73
2023-10-31 18:30:00,201.046,201.767,201.036,201.597,2.55
2023-10-31 18:45:00,201.607,201.836,201.126,201.496,2.72
2023-10-31 19:00:00,201.477,202.537,201.336,202.276,2.99
2023-10-31 19:15:00,202.266,202.787,201.426,201.686,3.04
2023-10-31 19:30:00,201.676,201.676,200.526,200.877,3.16
2023-10-31 19:45:00,200.876,201.446,200.326,200.676,4.38
2023-11-01 13:30:00,204.017,204.617,201.616,203.476,6.62
2023-11-01 13:45:00,203.557,204.506,201.676,202.257,5.52
2023-11-01 14:00:00,202.256,203.357,200.596,201.186,5.97
2023-11-01 14:15:00,201.176,201.857,200.246,201.527,5.06
2023-11-01 14:30:00,201.527,201.717,198.716,199.746,4.84
2023-11-01 14:45:00,199.747,200.107,197.827,198.807,4.46
2023-11-01 15:00:00,198.757,199.866,198.307,198.686,3.82
2023-11-01 15:15:00,198.676,199.077,198.046,198.856,3.37
2023-11-01 15:30:00,198.816,200.447,198.736,200.416,3.31
2023-11-01 15:45:00,200.396,201.046,200.246,200.767,3.02
2023-11-01 16:00:00,200.766,200.896,199.666,200.476,2.82
2023-11-01 16:15:00,200.496,201.656,200.337,201.297,2.96
2023-11-01 16:30:00,201.296,201.697,200.097,200.586,3.01
2023-11-01 16:45:00,200.586,201.417,200.496,201.337,2.67
2023-11-01 17:00:00,201.336,201.786,200.966,201.707,2.33
2023-11-01 17:15:00,201.706,202.197,200.766,201.057,2.67
2023-11-01 17:30:00,201.056,201.357,199.837,201.217,2.94
2023-11-01 17:45:00,201.217,201.657,200.936,201.456,2.15
2023-11-01 18:00:00,201.457,202.617,200.546,200.586,4.87
2023-11-01 18:15:00,200.587,201.477,200.206,201.206,3.78
2023-11-01 18:30:00,201.217,203.276,201.186,201.497,5.98
2023-11-01 18:45:00,201.506,203.587,200.537,203.297,5.91
2023-11-01 19:00:00,203.306,204.857,203.136,203.557,5.72
2023-11-01 19:15:00,203.566,204.617,203.317,204.136,5.18
2023-11-01 19:30:00,204.126,205.117,203.926,204.936,4.53
2023-11-01 19:45:00,204.936,205.967,204.896,205.536,4.45
2023-11-02 13:30:00,212.896,215.527,211.436,215.367,8.03
2023-11-02 13:45:00,215.316,216.956,213.866,215.697,6.5
2023-11-02 14:00:00,215.707,215.906,213.496,214.566,6.18
2023-11-02 14:15:00,214.567,217.017,214.317,216.326,5.41
2023-11-02 14:30:00,216.436,216.667,215.336,216.406,4.09
2023-11-02 14:45:00,216.427,217.177,215.606,216.916,3.5
2023-11-02 15:00:00,216.916,217.786,216.246,216.877,3.84
2023-11-02 15:15:00,216.857,217.496,215.906,216.087,3.17
2023-11-02 15:30:00,216.066,216.456,215.607,216.227,3.03
2023-11-02 15:45:00,216.237,217.556,216.116,217.467,3.08
